ecm_program,n_genes,genes
CNS/neural ECM,30,"BCAN, BGLAP, CHAD, CHADL, COL11A1, COL11A2, COL16A1, COL20A1, COL26A1, COL4A5, COL5A3, COL9A1, COL9A2, COL9A3, EDIL3, GLDN, HAPLN2, HAPLN4, LGI1, LGI3, LGI4, NCAN, NTNG2, SMOC1, SPARCL1, SPOCK1, SPOCK2, SPOCK3, TNR, VCAN"
Epithelial/mucosal basement membrane ECM,56,"ABI3BP, AGRN, BGN, CCN1, CHAD, CHADL, COL13A1, COL16A1, COL17A1, COL18A1, COL1A2, COL21A1, COL24A1, COL27A1, COL28A1, COL3A1, COL4A5, COL4A6, COL5A1, COL5A3, COL6A2, COL6A3, COL6A5, COL7A1, DCN, DMBT1, DPT, EMILIN1, EPYC, FGL2, FMOD, HAPLN1, HAPLN3, HSPG2, IGFBP6, LAMA3, LAMA5, LAMB3, LAMC2, LGI4, LUM, MMRN1, OGN, PODN, PODNL1, POMZP3, PRELP, PRG2, SPOCK1, SPON2, THBS1, TNC, TNXB, VCAN, VWA2, VWA5A"
Hepatic/plasma-associated ECM,32,"ASPN, BGN, CHAD, COL11A2, COL16A1, COL18A1, COL26A1, COL27A1, COL5A3, COL6A1, COL6A2, COL7A1, COL9A3, CRELD2, DCN, ESM1, FGA, FGB, FGG, FGL1, HAPLN4, HSPG2, IGFALS, LRG1, LUM, OIT3, PODN, PRG4, SMOC1, SPON2, VTN, VWCE"
Immune/lymphoid remodeling ECM,41,"ABI3BP, BGN, COL13A1, COL19A1, COL22A1, COL24A1, COL27A1, COL4A4, COL6A1, COL7A1, COL8A2, COL9A2, COLQ, CRELD1, DCN, EGFLAM, ESM1, FBLN7, FGL2, FMOD, HAPLN3, HSPG2, IGFBP7, LAMB1, LAMC2, LUM, MFAP1, MFAP3, NID2, PRELP, PRG2, PRG3, PRG4, SPARCL1, SPOCK2, SRGN, TGFBI, THBS1, TNC, VCAN, VWA5A"
Renal/endothelial basement membrane ECM,18,"AGRN, COL13A1, COL15A1, COL18A1, COL23A1, COL28A1, COL4A1, COL4A2, COL4A3, COL4A4, COL5A3, COL8A1, CRELD2, ESM1, IGFBP7, LAMA5, NPNT, POMZP3"
Reproductive-specialized ECM,23,"AMELX, BGN, CCN6, COL28A1, COL4A5, COL4A6, DCN, ECM1, ELSPBP1, EMILIN3, ESM1, FMOD, HSPG2, LUM, MATN2, OGN, PODN, RSPO3, SPARCL1, SPOCK1, SPOCK3, TECTB, VWDE"
Retinal/sensory ECM,47,"ABI3BP, BCAN, CILP2, COL10A1, COL11A1, COL11A2, COL16A1, COL19A1, COL22A1, COL24A1, COL25A1, COL28A1, COL2A1, COL4A3, COL4A4, COL4A5, COL4A6, COL5A2, COL5A3, COL9A2, CRELD2, EGFLAM, EYS, FNDC7, IMPG1, IMPG2, LAMA1, MATN1, NDNF, NELL2, NTN3, NTNG1, NTNG2, NYX, OPTC, OTOG, PODNL1, POMZP3, PRELP, SPOCK1, SPOCK2, SPOCK3, SPON1, TECTA, TSPEAR, VWA3B, ZPLD1"
Stromal remodeling ECM,13,"ABI3BP, CRISPLD2, CTHRC1, FBN1, FN1, LAMB1, LAMC1, MATN3, NDNF, NID1, NID2, RSPO2, SPARC"
Vascular/stromal/interstitial ECM,44,"ACAN, ASPN, BGN, CCN4, CILP, COL10A1, COL12A1, COL14A1, COL15A1, COL1A1, COL1A2, COL3A1, COL4A1, COL4A2, COL5A2, COL6A2, COL6A3, CRELD1, CRISPLD2, DCN, DPT, EFEMP2, EGFLAM, EMILIN1, FBLN2, FMOD, HSPG2, KERA, LAMB2, LUM, MFAP1, MFAP2, MFAP5, OGN, OMD, PODN, PRELP, PRG4, SPARCL1, THBS2, THBS4, VCAN, VIT, VWF"
